MH687978.1 Betacoronavirus sp. strain VZ_BetaCoV_22084_6, complete genome
KU242424.1 Middle East respiratory syndrome coronavirus isolate Camel/UAE/D469-14, complete genome
KU242423.1 Middle East respiratory syndrome coronavirus isolate Camel/UAE/D511-14, complete genome
KP890336.1 Porcine epidemic diarrhea virus strain CH/HNYF/14, complete genome
KT336560.1 Porcine deltacoronavirus isolate CHN-HN-2014, complete genome
KT368916.1 Camel alphacoronavirus isolate camel/Taif/T193/2015, complete genome
KT368915.1 Camel alphacoronavirus isolate camel/Taif/T157(a)/2015, complete genome
KT368914.1 Camel alphacoronavirus isolate camel/Taif/T96/2015, complete genome
KT368913.1 Camel alphacoronavirus isolate camel/Taif/T91(a)/2015, complete genome
KT368912.1 Camel alphacoronavirus isolate camel/Jeddah/Jd28/2015, complete genome
KT368911.1 Camel alphacoronavirus isolate camel/Jeddah/Jd8/2015, complete genome
KT368910.1 Camel alphacoronavirus isolate camel/Jeddah/Jd6(a)/2015, complete genome
KT368909.1 Camel alphacoronavirus isolate camel/Jeddah/Jd1(a)/2015, complete genome
KT368908.1 Camel alphacoronavirus isolate camel/Riyadh/Ry159(a)/2015, complete genome
KT368906.1 Camel alphacoronavirus isolate camel/Jeddah/D50(a)/2014, complete genome
KT368905.1 Camel alphacoronavirus isolate camel/Jeddah/D46(a)/2014, complete genome
KT368904.1 Camel alphacoronavirus isolate camel/Jeddah/D43(a)/2014, complete genome
KT368903.1 Camel alphacoronavirus isolate camel/Jeddah/D38(a)/2014, complete genome
KT368902.1 Camel alphacoronavirus isolate camel/Jeddah/D33(a)/2014, complete genome
KT368901.1 Camel alphacoronavirus isolate camel/Jeddah/N68(a)/2014, complete genome
KT368900.1 Camel alphacoronavirus isolate camel/Jeddah/N62(a)/2014, complete genome
KT368899.1 Camel alphacoronavirus isolate camel/Jeddah/N60/2014, complete genome
KT368898.1 Camel alphacoronavirus isolate camel/Jeddah/N38/2014, complete genome
KT368897.1 Camel alphacoronavirus isolate camel/Jeddah/O100/2014, complete genome
KT368896.1 Camel alphacoronavirus isolate camel/Jeddah/O47(a)/2014, complete genome
KT368895.1 Camel alphacoronavirus isolate camel/Jeddah/O23(a)/2014, complete genome
KT368894.1 Camel alphacoronavirus isolate camel/Jeddah/Jd63/2014, complete genome
KT368893.1 Camel alphacoronavirus isolate camel/Jeddah/Jd55/2014, complete genome
KT368892.1 Camel alphacoronavirus isolate camel/Jeddah/Jd29/2014, complete genome
KT368891.1 Camel coronavirus HKU23 isolate camel/Riyadh/Ry123/2015, complete genome
KT368890.1 Middle East respiratory syndrome coronavirus isolate camel/Taif/T157(b)/2015, complete genome
KT368889.1 Middle East respiratory syndrome coronavirus isolate camel/Taif/T150/2015, complete genome
KT368888.1 Middle East respiratory syndrome coronavirus isolate camel/Taif/T98/2015, complete genome
KT368887.1 Middle East respiratory syndrome coronavirus isolate camel/Taif/T92/2015, complete genome
KT368886.1 Middle East respiratory syndrome coronavirus isolate camel/Taif/T91(b)/2015, complete genome
KT368885.1 Middle East respiratory syndrome coronavirus isolate camel/Taif/T89/2015, complete genome
KT368884.1 Middle East respiratory syndrome coronavirus isolate camel/Taif/T68/2015, complete genome
KT368883.1 Middle East respiratory syndrome coronavirus isolate camel/Taif/T22/2015, complete genome
KT368882.1 Middle East respiratory syndrome coronavirus isolate camel/Taif/T16/2015, complete genome
KT368881.1 Middle East respiratory syndrome coronavirus isolate camel/Taif/T7/2015, complete genome
KT368880.1 Middle East respiratory syndrome coronavirus isolate camel/Taif/T3/2015, complete genome
KT368879.1 Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry86/2015, complete genome
KT368878.1 Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry79/2015, complete genome
KT368877.1 Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry64/2015, complete genome
KT368876.1 Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry63/2015, complete genome
KT368875.1 Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry179/2015, complete genome
KT368874.1 Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry178/2015, complete genome
KT368873.1 Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry177/2015, complete genome
KT368872.1 Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry173/2015, complete genome
KT368871.1 Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry162/2015, complete genome
KT368870.1 Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry159(b)/2015, complete genome
KT368869.1 Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry137/2015, complete genome
KT368868.1 Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry136/2015, complete genome
KT368867.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd199/2015, complete genome
KT368866.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd175/2015, complete genome
KT368865.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd90/2015, complete genome
KT368864.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd87/2015, complete genome
KT368863.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd86/2015, complete genome
KT368862.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd85/2015, complete genome
KT368861.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd7/2015, complete genome
KT368859.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd4/2015, complete genome
KT368858.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd1(b)/2015, complete genome
KT368857.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/S99/2014, complete genome
KT368856.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/S94/2014, complete genome
KT368855.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/S93/2014, complete genome
KT368854.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/S73/2014, complete genome
KT368853.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/S100/2014, complete genome
KT368852.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/O47(b)/2014, complete genome
KT368851.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/O30/2014, complete genome
KT368850.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/O24/2014, complete genome
KT368849.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/O23(b)/2014, complete genome
KT368848.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/N68(b)/2014, complete genome
KT368847.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/N62(b)/2014, complete genome
KT368846.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/N51/2014, complete genome
KT368845.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D92/2014, complete genome
KT368844.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D90/2014, complete genome
KT368843.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D88/2014, complete genome
KT368842.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D50(b)/2014, complete genome
KT368841.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D49/2014, complete genome
KT368840.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D48/2014, complete genome
KT368839.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D47/2014, complete genome
KT368838.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D46(b)/2014, complete genome
KT368837.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D45/2014, complete genome
KT368836.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D43(b)/2014, complete genome
KT368835.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D42/2014, complete genome
KT368834.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D40/2014, complete genome
KT368833.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D38(b)/2014, complete genome
KT368832.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D36/2014, complete genome
KT368831.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D35/2014, complete genome
KT368830.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D34/2014, complete genome
KT368829.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D33(b)/2014, complete genome
KT368828.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D100/2014, complete genome
KT368827.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/401/2014, complete genome
KT368826.1 Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry84N/2014, complete genome
KT368825.1 Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry23N/2014, complete genome
KT368824.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/F13A/2014, complete genome
KP757892.1 Porcine deltacoronavirus isolate CHN-JS-2014, complete genome
KP757891.1 Porcine deltacoronavirus isolate CHN-HB-2014, complete genome
KP757890.1 Porcine deltacoronavirus isolate CHN-AH-2004, complete genome
KT368907.1 Camel alphacoronavirus isolate camel/Riyadh/Ry141/2015, complete genome
KR061459.1 Swine enteric coronavirus strain Italy/213306/2009, complete genome
KR061458.1 Porcine epidemic diarrhea virus strain Italy/7239/2009, complete genome
KT751244.1 Middle East respiratory syndrome coronavirus strain D2731.3/14, complete genome
KR822424.1 European turkey coronavirus 080385d, complete genome
KT199103.1 Porcine epidemic diarrhea virus isolate CH/HNLH/2015, complete genome
KT121581.1 Middle East respiratory syndrome coronavirus isolate KFMC-7, complete genome
KT121580.1 Middle East respiratory syndrome coronavirus isolate KFMC-1, complete genome
KT121579.1 Middle East respiratory syndrome coronavirus isolate KFMC-8, complete genome
KT121578.1 Middle East respiratory syndrome coronavirus isolate KFMC-10, complete genome
KT121577.1 Middle East respiratory syndrome coronavirus isolate KFMC-2, complete genome
KT121576.1 Middle East respiratory syndrome coronavirus isolate KFMC-6, complete genome
KT121575.1 Middle East respiratory syndrome coronavirus isolate KFMC-4, complete genome
KT121574.1 Middle East respiratory syndrome coronavirus isolate KFMC-9, complete genome
KT121573.1 Middle East respiratory syndrome coronavirus isolate KFMC-3, complete genome
KT121572.1 Middle East respiratory syndrome coronavirus isolate KFMC-5, complete genome
LC063847.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: OKY-1/JPN/2014
LC063846.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: MYZ-1/JPN/2013
LC063845.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: KCH-2/JPN/2014
LC063844.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: KCH-1/JPN/2014
LC063843.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: IBR-8/JPN/2014
LC063842.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: IBR-4/JPN/2014
LC063841.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: IBR-3/JPN/2014
LC063840.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: NIG-2/JPN/2014
LC063839.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: IWT-2/JPN/2014
LC063838.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: MYG-1/JPN/2014
LC063837.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: AOM-2/JPN/2014
LC063836.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: OKN-1/JPN/2013
LC063835.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: IWT-3/JPN/2014
LC063834.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: IWT-1/JPN/2014
LC063833.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: AOM-3/JPN/2014
LC063832.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: IBR-7/JPN/2014
LC063831.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: IBR-6/JPN/2014
LC063830.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: NIG-1/JPN/2014
LC063829.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: GNM-2/JPN/2014
LC063828.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: TTR-2/JPN/2014
LC063827.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: MIE-1/JPN/2014
LC063826.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: KGS-4/JPN/2014
LC063825.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: HRS-1/JPN/2014
LC063824.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: KGW-1/JPN/2014
LC063823.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: GNM-1/JPN/2014
LC063822.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: TTR-1/JPN/2014
LC063821.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: IBR-2/JPN/2013
LC063820.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: IBR-1/JPN/2013
LC063819.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: IBR-5/JPN/2014
LC063818.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: KMM-2/JPN/2014
LC063817.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: KMM-1/JPN/2014
LC063816.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: OKN-2/JPN/2014
LC063815.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: KGS-2/JPN/2013
LC063814.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: KGS-1/JPN/2013
LC063813.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: IWT-4/JPN/2014
LC063812.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: EHM-1/JPN/2014
LC063811.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: FKO-1/JPN/2014
LC063810.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, strain: AOM-1/JPN/2014
KT021233.1 Porcine epidemic diarrhea virus strain YN200, complete genome
KT021232.1 Porcine epidemic diarrhea virus strain YN144, complete genome
KT021231.1 Porcine epidemic diarrhea virus strain YN90, complete genome
KT021230.1 Porcine epidemic diarrhea virus strain YN60, complete genome
KT021229.1 Porcine epidemic diarrhea virus strain YN30, complete genome
KT021228.1 Porcine epidemic diarrhea virus strain YN15, complete genome
KT021227.1 Porcine epidemic diarrhea virus strain YN1, complete genome
KT021234.1 Porcine deltacoronavirus strain CH/SXD1/2015, complete genome
KR818833.1 Porcine epidemic diarrhea virus strain JSHA2013, complete genome
KR818832.1 Porcine epidemic diarrhea virus strain XY2013, complete genome
KT381613.1 Porcine coronavirus HKU15 strain OH11846, complete genome
KR231009.1 Infectious bronchitis virus strain B1648, complete genome
KP849472.1 Alphacoronavirus 1 strain 23/03, complete genome
KR873435.1 Porcine epidemic diarrhea virus isolate KNU-141112-P10, complete genome
KR873434.1 Porcine epidemic diarrhea virus isolate KNU-141112-P5, complete genome
KR873431.1 Porcine epidemic diarrhea virus isolate KNU-141112-feces, complete genome
KM586818.1 Infectious bronchitis virus isolate P100, complete genome
KM027262.1 Middle East respiratory syndrome coronavirus isolate Riyadh_2014KSA_683/KSA/2014, complete genome
KM027261.1 Middle East respiratory syndrome coronavirus isolate Makkah_C9355/KSA/Makkah/2014-04-15, complete genome
KM027260.1 Middle East respiratory syndrome coronavirus isolate Jeddah_C10306/KSA/2014-04-20, complete genome
KM027259.1 Middle East respiratory syndrome coronavirus isolate Jeddah_C9055/KSA/2014-04-14, complete genome
KM027258.1 Middle East respiratory syndrome coronavirus isolate Jeddah_C8826/KSA/2014-04-12, complete genome
KM027257.1 Middle East respiratory syndrome coronavirus isolate Jeddah_C7770/KSA/2014-04-07, complete genome
